@relation set-sample

@attribute question string
@attribute class {rsp1, rsp2, rsp3, rsp4, rsp5, rsp6, rsp7, rsp8, rsp9, rsp10, rsp11, rsp12, rsp13 ,rsp14, rsp15, rsp16, rsp17, rsp18, rsp19, rsp20, rsp21, rsp22, rsp23, rsp24, rsp25, rsp26, rsp27, rsp28 ,rsp29, rsp30, rsp31, rsp32, rsp33, rsp34, rsp35, rsp36, rsp37, rsp38, rsp39, rsp40, rsp41, rsp42, rsp43, rsp44, rsp45, rsp46, rsp47, rsp48, rsp49, rsp50, rsp51, rsp52, rsp53, rsp54, rsp55, rsp56, rsp57, rsp58, rsp59, rsp60, rsp61, rsp62, rsp63, rsp64, rsp65, rsp66, rsp67, rsp68, rsp69, rsp70, rsp71, rsp72, rsp73, rsp74, rsp75, rsp76, rsp77, rsp78, rsp79, rsp80, rsp81, rsp82, rsp83, rsp84, rsp85, rsp86, rsp87, rsp88, rsp89, rsp90, rsp91, rsp92, rsp93, rsp94, rsp95, rsp96, rsp97, rsp98, rsp99, rsp100 ,rsp101, rsp103, rsp104, rsp105, rsp106, rsp107, rsp108, rsp109, rsp110, rsp111, rsp112, rsp113, rsp115, rsp116, rsp117, rsp118}

@data
'Üniversite staj sigortamı karşılar mı', rsp17
'Üniversite staj sigortamızı karşılar mı', rsp17
'Üniversite staj sigortalarını karşılar mı', rsp17
'Üniversite staj sigortasını karşılar mı', rsp17
'Bölümümüm staj sigortamı karşılar mı', rsp17
'Bölümümüz staj sigortamızı karşılar mı', rsp17
'Bölümümüm staj sigortalarını karşılar mı', rsp17
'Bölümümüm staj sigortasını karşılar mı', rsp17
'Okul staj sigortamı yapacak mı', rsp17
'Okul staj sigortamızı yapacak mı', rsp17
'Okul staj sigortalarını yapacak mı', rsp17
'Okul staj sigortasını yapacak mı', rsp17
'Üniversite staj sigortamı yapacak mı', rsp17
'Üniversite staj sigortamızı yapacak mı', rsp17
'Üniversite staj sigortalarını yapacak mı', rsp17
'Üniversite staj sigortasını yapacak mı', rsp17
'Bölümümüm staj sigortamı yapacak mı', rsp17
'Bölümümüz staj sigortamızı yapacak mı', rsp17
'Bölümümüm staj sigortalarını yapacak mı', rsp17
'Bölümümüm staj sigortasını yapacak mı', rsp17
'Staj sigorta belgesi nasıl teslim alınır', rsp18
'Staj sigorta belgemi nasıl teslim alırım', rsp18
'Staj sigorta belgesini nasıl teslim alırım', rsp18
'Staj sigorta belgesini nasıl teslim alırız', rsp18
'Staj sigorta belgemizi nasıl teslim alırız', rsp18
'Staj sigorta belgelerini nasıl teslim alırız', rsp18
'Staj sigorta belgelerimizi nasıl teslim alırız', rsp18
'Okuldan staj sigorta belgesini nasıl teslim alırım', rsp18
'Okuldan staj sigorta belgemi nasıl teslim alırım', rsp18
'Okuldan staj sigorta belgelerimizi nasıl teslim alabiliriz', rsp18
'Okuldan staj sigorta belgelerini nasıl teslim alabiliriz', rsp18
'Üniversiteden staj sigorta belgesini nasıl teslim alırım', rsp18
'Üniversiteden staj sigorta belgemi nasıl teslim alırım', rsp18
'Üniversiteden staj sigorta belgelerimizi nasıl teslim alabiliriz', rsp18
'Üniversiteden staj sigorta belgelerini nasıl teslim alabiliriz', rsp18
'Staj sigorta belgesi teslim alma', rsp18
'Okuldan staj sigorta belgesi teslim alma', rsp18
'Üniversiteden staj sigorta belgesi teslim alma', rsp18
'Staj sigorta belgesini nasıl teslim alıyoruz', rsp18
'Okuldan staj sigorta belgesini nasıl alıyoruz', rsp18
'Üniversiteden staj sigorta belgesini nasıl alıyoruz', rsp18
'Staj sigorta belgemi nasıl teslim alacağım', rsp18
'Okuldan staj sigorta belgemi teslim alacağım', rsp18
'Üniversiteden staj sigorta belgemi teslim alacağım', rsp18
'Staj sigorta belgelerimizi nasıl teslim alacağız', rsp18
'Okuldan staj sigorta belgelerimizi nasıl teslim alacağız', rsp18
'Üniversiteden staj sigorta belgelerimizi nasıl teslim alacağız', rsp18
'Staj sigorta belgesini nasıl teslim alıcam', rsp18
'Okuldan staj sigorta belgesini nasıl teslim alıcam', rsp18
'Üniversiteden staj sigorta belgesini nasıl teslim alıcam', rsp18
'Staj sigorta belgesini nasıl alcam', rsp18
'Okuldan staj sigorta belgesini nasıl alcam', rsp18
'Üniversiteden staj sigorta belgesini nasıl alcam', rsp18
'Staj sigorta belgesi nereden alınır', rsp18
'Staj sigorta belgesini nerden alıcam', rsp18
'Staj sigorta belgelerimiz nerden alıcaz', rsp18
'Okuldan staj sigorta belgelerini nerden alıcaz', rsp18
'Üniversiteden staj sigorta belgesini nerden alıcam', rsp18
'Staj sigorta belgemi nereden alabilirim', rsp18
'Staj sigorta belgesini nereden alabiliriz', rsp18
'Staj sigorta belgelerimizi nereden alabiliriz', rsp18
'Okulda staj sigorta belgesini nereden alabilirim', rsp18
'Üniversitede staj sigorta belgesini nereden alabilirim',rsp18
'Staj sigorta belgesi kimden alınır', rsp18
'Staj sigorta belgemi kimden alabilirim', rsp18
'Staj sigorta belgemizi kimden alabiliriz', rsp18
'Staj sigorta belgelerini kimden alabiliriz', rsp18
'Staj sigorta belgesini nereden temin edilir', rsp18
'Staj belgelerimi arkadaşım verip alabilir mi', rsp19
'Staj belgelerimi arkadaşım teslim alabilir mi', rsp19
'Staj belgelerimi arkadaşım teslim edebilir mi', rsp19
'Staj belgelerimi arkadaşım getirebilir mi', rsp19
'Staj belgelerimi arkadaşım alabilir mi', rsp19
'Staj belgelerimi arkadaşım gösterebilir mi', rsp19
'Staj belgelerimi arkadaşıma verebilir misiniz', rsp19
'Staj belgelerini arkadaşım teslim etmesi mümkün mü', rsp19
'Staj belgelerimi arkadaşımın alması mümkün mü', rsp19
'Staj belgelerimi başka birisi teslim edebilir mi', rsp19
'Staj belgelerimi başka birisi getirebilir mi', rsp19
'Staj belgelerimi başka birisi alabilir mi', rsp19
'Staj belgelerimi başka birisi gösterebilir mi', rsp19
'Staj belgelerimi başka birisi verebilir mi', rsp19
'Staj belgelerimi başka birisinin alması mümkün mü', rsp19
'Staj belgelerimi başka birisinin verip alması mümkün mü', rsp19
'Staj belgelerimi annem verip alabilir mi', rsp19
'Staj belgelerimi annem teslim edebilir mi', rsp19
'Staj belgelerimi annem alabilir mi', rsp19
'Staj belgelerimi annem gösterebilir mi', rsp19
'Staj belgelerimi annem verebilir mi', rsp19
'Staj belgelerimi annemin verip alması mümkün mü', rsp19
'Staj belgelerimi benim dışımda biri verebilir mi', rsp19
'Staj belgelerimi benim dışımda biri verip alabilir mi', rsp19
'Staj belgelerimi benim dışımda biri teslim edebilir mi', rsp19
'Staj belgelerimi benim dışımda biri gösterebilir mi', rsp19
'Staj belgelerimi benim dışımda biri verip alması mümkün mü', rsp19
'Staj belgelerimi akrabam verip alabilir mi', rsp19
'Staj belgelerimi akrabam teslim edebilir mi', rsp19
'Staj belgelerimi akrabam alabilir mi', rsp19
'Staj belgelerimi akrabam gösterebilir mi', rsp19
'Staj belgelerimi akrabam verebilir mi', rsp19
'Staj belgelerimi akrabam verip alması mümkün mü', rsp19
'Staj belgelerimi almasam olur mu', rsp19
'Staj belgelerimi ben verip almasam olur mu', rsp19
'Staj belgelerimi ben teslim almasam olur mu', rsp19
'Staj belgelerimi ben göstermesem olur mu', rsp19
'Staj belgemi ben vermesem olur mu', rsp19
'Staj sicil belgesinde fotoğraf gerekir mi', rsp20
'Staj sicil belgesinde fotoğraf olmalı mı', rsp20
'Staj sicil belgesinde fotoğraf lazım mı', rsp20
'Staj sicil belgesinde fotoğrafa gerek var mı', rsp20
'Staj sicil belgesinde fotoğraf olması lazım mı', rsp20
'Staj sicil belgesinde fotoğraf gerekiyor mu', rsp20
'Staj sicil belgesinde fotoğrafım olmalı mı', rsp20
'Staj sicil belgesinde fotoğrafım lazım mı', rsp20
'Staj sicil belgesinde fotoğrafıma gerek var mı', rsp20
'Staj sicil belgesinde fotoğrafım olması lazım mı', rsp20
'Staj sicil belgesinde fotoğrafım gerekiyor mu', rsp20
'Staj sicil belgesi içerisinde fotoğraf olmalı mı', rsp20
'Staj sicil belgesi içerisinde fotoğraf lazım mı', rsp20
'Staj sicil belgesi içerisinde fotoğrafa gerek var mı', rsp20
'Staj sicil belgesi içerisinde fotoğraf olması lazım mı', rsp20
'Staj sicil belgesi içerisinde fotoğraf gerekiyor mu', rsp20
'Staj sicil belgesi içinde fotoğraf olmalı mı', rsp20
'Staj sicil belgesi içinde fotoğraf lazım mı', rsp20
'Staj sicil belgesi içinde fotoğrafa gerek var mı', rsp20
'Staj sicil belgesi içinde fotoğraf olması lazım mı', rsp20
'Staj sicil belgesi içinde fotoğraf gerekiyor mu', rsp20
'Staj sicil belgesi içeriğinde fotoğraf lazım mı', rsp20
'Staj sicil belgesi içeriğinde fotoğraf lazım mı', rsp20
'Staj sicil belgesi içeriğinde fotoğrafa gerek var mı', rsp20
'Staj sicil belgesi içeriğinde fotoğraf olması lazım mı', rsp20
'Staj sicil belgesi içeriğinde fotoğraf gerekiyor mu', rsp20
'Staj defterinin her sayfasında imza olmalı mı', rsp21
'Staj defterinin sayfalarında imza olmalı mı', rsp21
'Staj defterinin her sayfası imzalı olmalı mı', rsp21
'Staj defterinin her sayfası imzalanmış olmalı mı',rsp21
'Staj defterinin her sayfası imzalanmalı mı', rsp21
'Staj defterinin sayfalarında imza gerekli mi', rsp21
'Staj defterinin her sayfası imzalı olması gerekli mi', rsp21
'Staj defterinin her sayfası imzalanmış olması gerekli mi',rsp21
'Staj defterimin her bir sayfası imzalanmalı mı', rsp21
'Staj defterimin her bir sayfası imzalı olmalı mı', rsp21
'Staj defterimin her bir sayfası imzalanmış olmalı mı', rsp21
'Staj defterimin her bir sayfasında imza gerekli mi', rsp21
'Staj defterimin her bir sayfası imzalı olması gerekli mi', rsp21
'Staj defterimin her bir sayfası imzalanmış olmalı gerekli mi', rsp21
'Staj defterinin bütün sayfaları imzalı olmalı mı', rsp21
'Staj defterinin bütün sayfalarında imza olmalı mı', rsp21
'Staj defterinin bütün sayfaları imzalanmış olmalı mı', rsp21
'Staj defterinin bütün sayfaları imzalanmalı mı', rsp21
'Staj defterinin bütün sayfaları imzalı olması gerekli mi', rsp21
'Staj defterinin bütün sayfaları imzalanmış olması mı gerekli mi', rsp21
'Staj defterinin her sayfasında imza olması zorunlu mu', rsp21
'Staj defterinin her sayfası imzalı olması zorunlu mu', rsp21
'Staj defterinin her sayfası imzalanmış olması zorunlu mu',rsp21
'Staj defteri sayfalarını imzalatmak zorunlu mu', rsp21
'Staj defteri sayfalarını imzalatmak gerekli mi', rsp21
'Staj defteri sayfalarını imzalatacak mıyız', rsp21
'Kaç gün devamsızlık hakkım kaldığını nereden öğrenebilirim', rsp22
'Kaç gün devamsızlık hakkım kaldı öğrenme', rsp22
'Kaç gün devamsızlık hakkım kaldı öğrenebilir miyim', rsp22
'Kaç gün devamsızlığım var öğrenme', rsp22
'Kaç gün devamsızlığım var öğrenebilir miyim', rsp22
'Kaç gün devamsızlığım var nerden öğrenicem', rsp22
'Kaç gün devamsızlığım var kimden öğrenicem', rsp22
'Kaç gün devamsızlık yapabilirim öğrenme', rsp22
'Kaç gün devamsızlık yapabilirim öğrenebilir miyim', rsp22
'Kaç gün devamsızlık yapabilirim nerden öğrenebilirim', rsp22
'Kaç gün devamsızlık yapabilirim kimden öğrenebilirim', rsp22
'Kalan devamsızlık hakkımı nereden öğrenebilirim', rsp22
'Kalan devamsızlık hakkımı kimden öğrenebilirim', rsp22
'Kalan devamsızlık hakkımı nerden bilcem', rsp22
'Kalan devamsızlık hakkı öğrenme', rsp22
'Kalan devamsızlık hakkımı öğrenebilir miyim', rsp22
'Kalan devamsızlık hakkımı nerden öğrenicem', rsp22
'Kalan devamsızlık hakkımı kimden öğrenicem', rsp22
'Kalan devamsızlık hakkımı öğrenebilir miyim', rsp22
'Ne kadar devamsızlık hakkım kaldı nereden öğrenebilirim', rsp22
'Ne kadar devamsızlık hakkım kaldı kimden öğrenebilirim', rsp22
'Ne kadar devamsızlık hakkım kaldı', rsp22
'Ne kadar devamsızlık hakkım kaldı öğrenme', rsp22
'Ne kadar devamsızlık hakkım kaldığını nereden öğrenebilirim', rsp22
'Ne kadar devamsızlık hakkım var kimden öğrenebilirim', rsp22
'Ne kadar devamsızlık hakkım var nerden öğrencem', rsp22
'Dersten kaç gün devamsızlık hakkım kaldı nereden öğrenebilirim', rsp22
'Dersten kaç gün devamsızlık hakkım kaldı öğrenme', rsp22
'Dersten kaç gün devamsızlığım var öğrenme', rsp22
'Dersten kaç gün devamsızlığım var öğrenebilir miyim', rsp22
'Devamsızlık hakkım ne kadar kaldı nerden öğrenebilirim', rsp22
'Devamsızlık hakkım ne kadar kaldı kimden öğrenebilirim', rsp22
'Nerden öğrenicem kalan devamsızlık hakkımı', rsp22
'Kalan devamsızlığımı öğrenmek istiyorum', rsp22
'Ne kadar devamsızlığım kaldı öğrenmek istiyorum', rsp22
'Dersten ne kadar devamsızlığım kaldı nereden öğrenicem', rsp22
'Derslerdeki kalan devamsızlık haklarımı nereden öğrenicem', rsp22
'Kalan devamsızlık günlerimi nereden öğrenebilirim', rsp22
'Dersten kalan devamsızlık günlerimi nereden öğrenebilirim', rsp22
'Ne kadar devamsızlık günüm kaldı nereden öğrenebilirim', rsp22
'Derslerdeki kalan devamsızlık günlerimi nereden öğrenebilirim', rsp22
'Bir dersten kaç gün devamsızlık yapabilirim' rsp23
'Dersten kaç gün devamsızlık yapabilirim', rsp23
'Bir dersten ne kadar devamsızlık yapabilirim', rsp23
'Bir dersten ne kadar devamsızlık hakkım var', rsp23
'Bir dersteki devamsızlık süresi', rsp23
'Derslerdeki devamsızlık süresi', rsp23
'Dersten Kaç gün devamsızlık hakkım var', rsp23
'Ne kadar devamsızlık hakkım var', rsp23
'Üniversitede bir dersten kaç gün devamsızlık hakkım var', rsp23
'Üniversitede bir dersten kaç gün devamsızlık hakkım olabilir', rsp23
'Üniversitede bir dersten kaç gün devamsızlık yapabilirim', rsp23
'Üniversitede bir dersten kaç gün devamsızlık yapabilme olanağım var', rsp23
'Üniversitede bir dersten kaç gün devamsızlık yapabilmem mümkün', rsp23
'Üniversitede bir dersten ne kadar devamsızlık hakkım var', rsp23
'Üniversitede bir dersten ne kadar devamsızlık hakkım olabilir', rsp23
'Üniversitede bir dersten ne kadar devamsızlık yapabilirim', rsp23
'Üniversitede bir dersten ne kadar devamsızlık yapabilme olanağım var', rsp23
'Üniversitede bir dersten ne kadar devamsızlık yapabilmem mümkün', rsp23
'Üniversitede bir dersteki devamsızlık süresi', rsp23
'Üniversitede bir dersteki devamsızlık süresi ne kadar', rsp23
'Üniversitede bir dersten kaç devamsızlık hakkım var', rsp23
'Üniversitede bir dersten kaç devamsızlık hakkına sahibim', rsp23
'Üniversitede bir dersten kaç devamsızlık hakkım olabilir', rsp23
'Bölümde bir dersten kaç gün devamsızlık hakkım var', rsp23
'Bölümde bir dersten kaç gün devamsızlık hakkım olabilir', rsp23
'Bölümde bir dersten kaç gün devamsızlık yapabilirim', rsp23
'Bölümde bir dersten kaç gün devamsızlık yapabilme olanağım var', rsp23
'Bölümde bir dersten kaç gün devamsızlık yapabilmem mümkün', rsp23
'Bölümde bir dersten ne kadar devamsızlık hakkım var', rsp23
'Bölümde bir dersten ne kadar devamsızlık hakkım olabilir', rsp23
'Bölümde bir dersten ne kadar devamsızlık yapabilirim', rsp23
'Bölümde bir dersten ne kadar devamsızlık yapabilme olanağım var', rsp23
'Bölümde bir dersten ne kadar devamsızlık yapabilmem mümkün', rsp23
'Bölümde bir dersteki devamsızlık süresi', rsp23
'Bölümde bir dersteki devamsızlık süresi ne kadar', rsp23
'Bölümde bir dersten kaç devamsızlık hakkım var', rsp23
'Bölümde bir dersten kaç devamsızlık hakkına sahibim', rsp23
'Bölümde bir dersten kaç devamsızlık hakkım olabilir', rsp23
'Derste kaç gün devamsızlık yapabilirim', rsp23
'Derste kaç gün devamsızlık hakkım var', rsp23
'Derste kaç gün devamsızlık hakkım olabilir', rsp23
'Derste kaç gün devamsızlık yapabilirim', rsp23
'Derste kaç gün devamsızlık yapabilme olanağım var', rsp23
'Derste kaç gün devamsızlık yapabilmem mümkün', rsp23
'Derste ne kadar devamsızlık hakkım var', rsp23
'Derste ne kadar devamsızlık hakkım olabilir', rsp23
'Derste ne kadar devamsızlık yapabilirim', rsp23
'Derste ne kadar devamsızlık yapabilme olanağım var', rsp23
'Derste ne kadar devamsızlık yapabilmem mümkün', rsp23
'Derste devamsızlık süresi', rsp23
'Derste devamsızlık süresi ne kadar', rsp23
'Derste kaç devamsızlık hakkım var', rsp23
'Derste kaç devamsızlık hakkına sahibim', rsp23
'Derste kaç devamsızlık hakkım olabilir', rsp23
'Devamsızlıktan kaldığımı nereden öğrenebilirim', rsp24
'Devamsızlıktan kaldığımı nasıl öğrenebilirim', rsp24
'Devamsızlıktan kaldığımı kimden öğrenebilirim', rsp24
'Dersten devamsızlıktan kaldığımı nerden öğrenebilirim', rsp24
'Dersten devamsızlıktan kaldığımı nasıl öğrenebilirim', rsp24
'Dersten devamsızlıktan kaldığımı kimden öğrenebilirim', rsp24
'Raporlarım devamsızlıkta geçerli olur mu', rsp25
'Raporlar devamsızlıkta geçerli mi', rsp25
'Raporlar devamsızlık için kullanılabilinir mi', rsp25
'Raporlar devamsızlıkta işe yarar mı', rsp25
'Raporlar devamsızlıkları siler mi', rsp25
'Raporların devamsızlıklara etkisi var mı', rsp25
'Raporum var devamsızlığım silinir mi', rsp25
'Gitmediğim derse rapor versem raporlu sayılır mı', rsp25
'Raporum var derse gitmesem raporlu sayılır mıyım', rsp25
'Aldığım rapor devamsızlıkta geçerli mi', rsp25
'Aldığım rapor devamsızlığı etkiler mi', rsp25
'Rapor devamsızlıkta etkili mi', rsp25
'Raporum var vizeye girebilir miyim', rsp26
'Raporum var vizeye girmem mümkün mü', rsp26
'Raporum var vize sınavına girebilir miyim', rsp26
'Raporum var vize sınavına girmem mümkün mü', rsp26
'Raporla vizeye girebilir miyim', rsp26
'Raporla vizeye girmem mümkün mü', rsp26
'Raporla vize sınavına girebilir miyim', rsp26
'Raporla vize sınavına girmem mümkün mü', rsp26
'Raporumla vizeye girebilir miyim', rsp26
'Raporumla vizeye girmem mümkün mü', rsp26
'Raporumla vize sınavına girebilir miyim', rsp26
'Raporumla vize sınavına girmem mümkün mü', rsp26
'Vizeye giremedim raporla girebilir miyim', rsp26
'Vizeye giremedim raporla girmem mümkün mü', rsp26
'Vize sınavına giremedim raporla girebilir miyim', rsp26
'Vize sınavına girmedim raporla girmem mümkün mü', rsp26
'Vize sınavına raporla girebilir miyim', rsp26
'Vize sınavına raporla girmem mümkün mü', rsp26
'Vize sınavına raporla girebilir miyim', rsp26
'Vize sınavına raporla girmem mümkün mü', rsp26
'Vizelerde rapor geçerli mi', rsp26
'Vize sınavlarında rapor geçerli mi', rsp26
'Vizede rapor geçerli mi', rsp26
'Vizelere raporla girmem mümkün mü', rsp26
'Vize sınavlarına raporla girmem mümkün mü', rsp26
'Vizeye raporla girmem mümkün mü', rsp26
'Vizelere raporla girebilir miyim', rsp26
'Vize sınavlarına raporla girebilir miyim', rsp26
'Vizeye raporla girebilir miyim', rsp26
'Vizeleri kaçırdım raporla girebilir miyim', rsp26
'Vizeleri kaçırdım raporum geçerli olur mu', rsp26
'Vize sınavını kaçırdım raporla girebilir miyim', rsp26
'Vize sınavını kaçırdım raporum geçerli olur mu', rsp26
'Hastaydım vize sınavına giremedim rapor alsam girebilir miyim', rsp26
'Hastaydım vize sınavına giremedim rapor alsam girebilir miyim', rsp26
'Hastaydım vizelere giremedim raporum geçerli olur mu', rsp26
'Hastaydım vizelere giremedim rapor alsam girebilir miyim', rsp26
'Rapor vize sınavı için geçerli mi', rsp26
'Rapor vizeler için geçerli mi', rsp26
'Vizelere raporla girmek mümkün mü', rsp26
'Vize sınavlarına raporla girmek mümkün mü', rsp26
'Raporum var finale girebilir miyim', rsp27
'Raporum var finale girmem mümkün mü', rsp27
'Raporum var final sınavına girebilir miyim', rsp27
'Raporum var final sınavına girmem mümkün mü', rsp27
'Raporla finale girebilir miyim', rsp27
'Raporla finale girmem mümkün mü', rsp27
'Raporla final sınavına girebilir miyim', rsp27
'Raporla final sınavına girmem mümkün mü', rsp27
'Raporumla finale girebilir miyim', rsp27
'Raporumla finale girmem mümkün mü', rsp27
'Raporumla final sınavına girebilir miyim', rsp27
'Raporumla final sınavına girmem mümkün mü', rsp27
'Finale giremedim raporla girebilir miyim', rsp27
'Finale giremedim raporla girmem mümkün mü', rsp27
'Final sınavına giremedim raporla girebilir miyim', rsp27
'Final sınavına girmedim raporla girmem mümkün mü', rsp27
'Final sınavına raporla girebilir miyim', rsp27
'Final sınavına raporla girmem mümkün mü', rsp27
'Final sınavına raporla girebilir miyim', rsp27
'Final sınavına raporla girmem mümkün mü', rsp27
'Finallerde rapor geçerli mi', rsp27
'Final sınavlarında rapor geçerli mi', rsp27
'Finalde rapor geçerli mi', rsp27
'Finale raporla girmem mümkün mü', rsp27
'Final sınavlarına raporla girmem mümkün mü', rsp27
'Finale raporla girmem mümkün mü', rsp27
'Finallere raporla girebilir miyim', rsp27
'Final sınavlarına raporla girebilir miyim', rsp27
'Finale raporla girebilir miyim', rsp27
'Finalleri kaçırdım raporla girebilir miyim', rsp27
'Finalleri kaçırdım raporum geçerli olur mu', rsp27
'Final sınavını kaçırdım raporla girebilir miyim', rsp27
'Final sınavını kaçırdım raporum geçerli olur mu', rsp27
'Hastaydım final sınavına giremedim rapor alsam girebilir miyim', rsp27
'Hastaydım final sınavına giremedim rapor alsam girebilir miyim', rsp27
'Hastaydım finallere giremedim raporum geçerli olur mu', rsp27
'Hastaydım finallere giremedim rapor alsam girebilir miyim', rsp27
'Rapor final sınavı için geçerli mi', rsp27
'Rapor finaller için geçerli mi', rsp27
'Finallere raporla girmek mümkün mü', rsp27
'Final sınavlarına raporla girmek mümkün mü', rsp27
'Sınav itirazını nasıl yapabilirim', rsp28
'Sınava itiraz nasıl edebilirim', rsp28
'Sınava itiraz edicem nasıl yapabilirim', rsp28
'Sınava itiraz etmek istiyorum nasıl yapabilirim', rsp28
'Sınava itiraz hakkımı nasıl kullanabilirim', rsp28
'Sınav itiraz dilekçesini nereye teslim edebilirim', rsp28
'Sınava itiraz etmek için ne yapabilirim', rsp28
'Sınav itirazını neyle yapacağım', rsp28
'Sınav itirazını neyle ve nereye yapacağım', rsp28
'Sınava nasıl itiraz edebilirim', rsp28
'Sınava neyle itiraz edebilirim', rsp28
'Sınav itirazı için yazdığım dilekçeyi nereye teslim etmeliyim', rsp28
'Sınava nasıl itiraz edilir', rsp28
'Sınav için itiraz hakkımı nasıl kullanabilirim', rsp28
'Sınava itiraz etmek için ne yapmam gerekiyor', rsp28
'Sınava itiraz etmek için hangi yolu kullanmalıyım', rsp28
'Sınava itiraz etmek için hangi yolları denemeliyim', rsp28
'Vize sınavına itiraz etmek istiyorum', rsp28
'Vize sınavına nasıl itiraz edilir', rsp28
'Vize sınavı için itiraz hakkımı kullanmak istiyorum', rsp28
'Vize sınavlarına nasıl itiraz edebilirim', rsp28
'Vize sınavlarına nasıl itiraz etmek istiyorum', rsp28
'Final sınavına itiraz etmek istiyorum', rsp28
'Final sınavına nasıl itiraz edilir', rsp28
'Final sınavı için itiraz hakkımı kullanmak istiyorum', rsp28
'Final sınavlarına nasıl itiraz edebilirim', rsp28
'Final sınavlarına nasıl itiraz etmek istiyorum', rsp28
'Finale girmeden büte girebilir miyim', rsp29
'Finale girmedim büte girmem mümkün mü', rsp29
'Finalsiz büte girebilir miyim', rsp29
'Finallere girmeden büt sınavlarına girebilir miyim', rsp29
'Final sınavlarına girmeden bütlere girebilir miyim', rsp29
'Finallere girmeden bütlere girebilir miyim', rsp29
'Final sınavlarına girmeden büt sınavlarına girebilir miyim', rsp29
'Finallere girmeden büt sınavlarına girebilirmek mümkün mü', rsp29
'Final sınavlarına girmeden bütlere girebilirmek mümkün mü', rsp29
'Finallere girmeden bütlere girebilirmek mümkün mü', rsp29
'Final sınavlarına girmeden büt sınavlarına girebilirmek mümkün mü', rsp29
'Final sınavına girmedim büt sınavına girmem mümkün mü', rsp29
'Finallere girmedim bütlere girmem mümkün mü', rsp29
'diplomam yurtdışında geçerli midir',rsp44
'mezun olurken aldığım diploma türkiye dışında da geçerli olur mu',rsp44
'aldığım diploma yurtdışında sayılır mı',rsp44
'bu okuldan aldığım diploma yurtdışında geçerli mi',rsp44
'diplomam ülke dışında da geçerli olacak mı',rsp44
'aldığım diplomanın ülke dışında geçmesi mümkün mü',rsp44
'yurtdışında buradaki diplomamı kullanabilir miyim',rsp44
'aldığım diplomayı türkiye dışında da kullanabilmem mümkün mü',rsp44
'trakya üniversitesi diploması yurtdışında kullanılabilir mi',rsp44
'diplomamı yurtdışında kullanmak istiyorum geçerli midir',rsp44
'türkiye dışında bir ülkede aynı diplomayı kullanabiliyor muyum',rsp44
'buradaki diplomam yurtdışında da geçiyor mu',rsp44
'diplomamı aldım yurtdışında iş bulmak için buradaki diplomam geçerli olur mu',rsp44
'türkiye dışında iş ararken de buradaki diplomayı kullanabiliyor muyum',rsp44
'buradan mezun olup aldığım diploma türkiye dışında iş bulmaya yarar mı',rsp44
'yurtdışında iş ararken diplomamı kullanabilir miyim',rsp44
'diplomam başka ülkelerde kullanılabilir mi',rsp44
'buradaki diplomamla başka ülkelerde iş bulabilir miyim',rsp44
'diplomayı yurtdışında iş ararken de kullanmam mümkün mü',rsp44
'diplomam diğer ülkelerde de geçerli sayılır mı',rsp44
'diplomamı diğer ülkelerde iş ararken de buradaki gibi kullanabilir miyim',rsp44
'başka bir ülkede iş bulmak için diplomamı kullanabilirim değil mi ',rsp44
'diplomam başka ülkede geçerli sayılır mı',rsp44
'başka bir ülkede de aynı diploma geçerli olacak mı',rsp44
'buradaki diplomamla türkiye dışında iş bulabilir miyim',rsp44
'mezun olduktan sonra diplomam türkiye dışında sayılacak mı',rsp44
'buradaki diplomamla yurtdışında da üniversite mezunu görünür müyüm',rsp44
'diplomamın yurtdışında da geçerliliği var mı',rsp44
'burdan mezun olduğum diploma başka ülkede de geçerli midir',rsp44
'trakya üniversitesi diplomam avrupada geçerli olur mu',rsp44
'buradaki diplomam amerikada iş bulmama yarar mı',rsp44
'bu okuldan mezuniyetim yurtdışında da sayılıyor mu',rsp44
'almanyada iş ararken diplomamı kullanabilir miyim',rsp44
'italyada çalışmak için iş başvurumda diplomamı kullanabiliyor muyum',rsp44
'bu diplomayla avrupada iş bulabilir miyim',rsp44
'yurtdışında diploma geçerliliği',rsp44
'diplomanın üstünde fotoğrafım var mı',rsp45
'diplomanın üzerine vesikalık koymam gerekir mi',rsp45
'diploma için okula vesikalık fotoğraf getiriliyor mu',rsp45
'diplomamın üstünde fotoğrafım olacak mı',rsp45
'vesikalık fotoğrafım diploma üzerinde olmasa da olur mu',rsp45
'diplomada fotoğraf olur mu ',rsp45
'diploma üzerine fotoğraf olmalı mı',rsp45
'diplomada vesikalık olmak zorunda mı',rsp45
'diplomada vesikalık fotoğrafım olmalı mı ',rsp45
'okula diploma için fotoğraf getirecek miyim',rsp45
'diplomamın üzerine vesikalık fotoğrafım konacak mı',rsp45
'diplomaya vesikalık fotoğrafımı koymam mı gerekiyor',rsp45
'diplomaya konması için okula vesikalık fotoğraf getirecek miyim',rsp45
'okulum diplomama benim vesikalık fotoğrafımı koyuyor mu',rsp45
'diplomaya vesikalık fotoğrafım ekleniyor mu',rsp45
'diplomanın üzerinde vesikalığım olacak mı ',rsp45
'okul diplomamın üstüne vesikalık eklememi istiyor mu',rsp45
'mezun olanların diplomasının üstünde kendi fotoğrafı olur mu',rsp45
